UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,MPI-ESM1-2-LR,SSP126,0.27521215316745345,0.20322783643397624,0.24666583516338356,0.2304931399674521,0.24807930564055658,0.2599947551451738,0.22363647582611054,0.24582844993694095,0.24000127556211812
13,MPI-ESM1-2-LR,SSP126,1.0479775101915283,1.2417847131605224,1.1074749202793703,1.2260794068166807,1.5008526697578728,1.2151061153069307,1.1546997436352107,1.212906195543849,1.1997305168604229
14,MPI-ESM1-2-LR,SSP126,0.9506336483216178,0.8259786934076597,0.6690049831201941,0.8092149737043396,1.0379719151379965,0.6199949736957426,0.649172508654746,0.5962652735306928,0.7222601956176443
15,MPI-ESM1-2-LR,SSP126,0.3519822179815179,0.3180840716998814,0.28696427729698054,0.30481505142435006,0.3186561408055352,0.2839140691990451,0.3109754455080371,0.2987077586460306,0.318367444308793
17,MPI-ESM1-2-LR,SSP126,0.3662628604340541,0.37169558384231866,0.3468746657623413,0.3995235860283634,0.3003431445617431,0.39431378150256857,0.41049834742187374,0.34574177419055335,0.323979698092425
18,MPI-ESM1-2-LR,SSP126,0.3353706125721175,0.33555670758821615,0.2767478681030061,0.3095973872454754,0.2942954400123384,0.35719450991337537,0.3206889679848605,0.3265079694874842,0.29822032322511344
78,MPI-ESM1-2-LR,SSP126,0.29146418012048597,0.24937718706794615,0.22767601155465653,0.2733040508320389,0.28882518553347736,0.31869401938546965,0.2959410080885299,0.2854958338178491,0.2710507578039998
85,MPI-ESM1-2-LR,SSP126,0.2331530590703704,0.3041101509070543,0.29765417027265056,0.413851755251338,0.5818394294308817,0.37521267596718744,0.29408584354089745,0.43454514055885674,0.368577885000614
104,MPI-ESM1-2-LR,SSP126,0.28441392763369866,0.23034602466048773,0.2365999287712559,0.2559261765509232,0.21969117121714618,0.32566640200196045,0.2525702419411472,0.2844566262619915,0.23423908856532746
118,MPI-ESM1-2-LR,SSP126,0.35809946840455636,0.32727962392892435,0.332444457539139,0.33402625663762026,0.3367699251798161,0.3717134778867441,0.37431718180672996,0.33159635334830767,0.32483333367882206
120,MPI-ESM1-2-LR,SSP126,0.4194630510216443,0.35326183223190366,0.35583382941334096,0.342875920819837,0.3908961040891821,0.3645142936319701,0.3297734887930926,0.3210001790016168,0.32481353373832145
121,MPI-ESM1-2-LR,SSP126,0.4168089930323409,0.3831380765241613,0.35316228501794783,0.3587558639480189,0.3932400997288085,0.3557488547805172,0.3647256990775346,0.3142882553198166,0.3482669313897919
128,MPI-ESM1-2-LR,SSP126,0.31034581251645604,0.31784412698399833,0.3104938543813423,0.3472942080968748,0.38146791749095915,0.32024871689140644,0.29883790763991325,0.3070576971369934,0.32207651517274954
167,MPI-ESM1-2-LR,SSP126,0.46754725734008656,0.43871772661108793,0.4129490412698058,0.44701175028041584,0.47997570004125034,0.4511036297417788,0.4537606457424414,0.4340815554825714,0.3727319241877321
28,MPI-ESM1-2-LR,SSP126,0.12183185600975084,0.12242548235419112,0.12646017326235462,0.12975032322964272,0.1470905137349564,0.11625677238077498,0.11151660585828471,0.1506276453934969,0.12136054802903326
29,MPI-ESM1-2-LR,SSP126,0.2889743724756524,0.2584145415615486,0.2550364751429483,0.2278261329919084,0.22780185731070723,0.25209534425982205,0.2529696818581541,0.22172978486198142,0.26379243431974464
82,MPI-ESM1-2-LR,SSP126,0.23755572090790622,0.22803705027921395,0.2592914962614937,0.24870488798512796,0.23844463118313156,0.24445368572581747,0.24285065783982948,0.24344766852305966,0.2401678318772478
98,MPI-ESM1-2-LR,SSP126,0.2740145997780894,0.29579410260551764,0.29957229155351145,0.2764876035337113,0.2944411753834557,0.2758297438977655,0.28153320533184595,0.2510159467503381,0.24042953617394333
110,MPI-ESM1-2-LR,SSP126,0.7318504842160304,0.8926522151776584,0.6373882003829849,0.8571347245688393,0.9621096191522117,0.7357956699428492,0.6601523331599825,0.9097204256577525,0.7932915428325977
141,MPI-ESM1-2-LR,SSP126,0.509314668718297,0.46710652554894955,0.43953658086167824,0.49424014785281106,0.4622558984385169,0.509345480723833,0.4775038689644038,0.4686257156206884,0.48909469800141403
142,MPI-ESM1-2-LR,SSP126,0.3988555820723218,0.5158622387568287,0.38946357544870996,0.5240412373096406,0.7258250497515377,0.43272188784803484,0.4215868559064601,0.7153110151396557,0.4791159017859319
159,MPI-ESM1-2-LR,SSP126,0.1919953668596917,0.2623022086519981,0.2069355507560531,0.23336023967036115,0.5320770115832326,0.22145459777105664,0.197938417876817,0.37151896229092257,0.23205023711203632
83,MPI-ESM1-2-LR,SSP126,0.6163242093502097,0.7803153927612111,0.748218877304343,0.7774217589125619,0.7949219442468619,0.765441220437781,0.7575761410129845,0.7984582256236575,0.7729301584552281
33,MPI-ESM1-2-LR,SSP126,0.19460061428840703,0.09791208543081553,0.11357482850693798,0.129590674683283,0.1057746565108852,0.16112320251342171,0.09964319527824075,0.16720431868397,0.10827505525609736
34,MPI-ESM1-2-LR,SSP126,0.20204553359238273,0.1846746804300737,0.20214393737538583,0.2028268503911753,0.21223063003043824,0.15630737065337863,0.17044904152180174,0.16214893356186524,0.1867802003255493
103,MPI-ESM1-2-LR,SSP126,0.15993785834553081,0.08540754465195832,0.09540713719976363,0.15962153556894162,0.12152191604466807,0.2501325650160762,0.14618399040499408,0.1982326105551831,0.10918541753783266
119,MPI-ESM1-2-LR,SSP126,0.17214466217643848,0.17996505779093272,0.24448358121071784,0.18694044458391468,0.18798832368173024,0.16745544687061203,0.17725915829332103,0.1721103278035056,0.22436992011534881
140,MPI-ESM1-2-LR,SSP126,0.10674567829383348,0.20134343120167172,0.2031698239846207,0.07438131675156984,0.11538293989307583,0.1081208493064041,0.0968328502424685,0.06667472811487812,0.19823864042248993
79,MPI-ESM1-2-LR,SSP126,0.2522064896085901,0.24699494413052733,0.322080866232419,0.27397225426517136,0.32468724714585256,0.34675806307209994,0.28425547907285903,0.2599188568618304,0.30900743527976177
80,MPI-ESM1-2-LR,SSP126,0.23698903724581072,0.24649233496829884,0.27220573681572674,0.30611575452575895,0.34534370451517,0.2723491452485051,0.24819409775799775,0.2844902588614371,0.2722984741701819
81,MPI-ESM1-2-LR,SSP126,0.31830394191074446,0.3087280737186527,0.36391040943753467,0.3397672253281825,0.3762342752402845,0.3682614585110246,0.3296503804194999,0.3489792053424602,0.34278299524364053
92,MPI-ESM1-2-LR,SSP126,0.25863894337194404,0.26346995399743717,0.3118966211551472,0.31912319063591915,0.3448431588585263,0.3491868412706372,0.30182492580566145,0.2843763091859834,0.2920499451986673
94,MPI-ESM1-2-LR,SSP126,1.0863271159637025,1.0765080892588,1.1303688432901051,1.1742927510210397,1.1569036210976131,1.116385085658841,0.9756638916176259,1.1784886921575253,1.118243096927471
95,MPI-ESM1-2-LR,SSP126,0.5678819482174331,0.5664481273107576,0.5284976578401535,0.8691943539646997,0.7696093637531854,0.6424800389134226,0.5582826937476408,0.5552329112777337,0.601535942551021
96,MPI-ESM1-2-LR,SSP126,0.3993630156958424,0.4045138085677452,0.4000060914600907,0.5077526658453151,0.5548909168853746,0.40017546699998113,0.40119219906945297,0.5664148276489873,0.4186246414298514
97,MPI-ESM1-2-LR,SSP126,0.4604983579179255,0.44218403288688196,0.41678425926842766,0.5386742428037624,0.7149410836827249,0.41684051783217646,0.428931008020245,0.577259140635416,0.47812711801784225
143,MPI-ESM1-2-LR,SSP126,0.9918886405939263,1.0026543480285168,0.8434036277853866,1.0402661670817779,1.0482949873884737,1.0623376606695834,0.937228465954802,1.0426430673978087,1.0664949820147052
144,MPI-ESM1-2-LR,SSP126,1.1371895060777615,1.1225631481466762,1.2356261698978432,1.2165604868341542,1.2137312645412532,1.1870373907570828,1.1027026091453143,1.2691088486204858,1.203218211941881
145,MPI-ESM1-2-LR,SSP126,0.3987619138685428,0.39767735880854493,0.3386073542692452,0.42932474606839466,0.6194364287926155,0.3699191185186812,0.370397011059177,0.5224311338528522,0.4005607706623244
146,MPI-ESM1-2-LR,SSP126,0.4293531085140145,0.4438221294199262,0.41840924451339856,0.48141310675516746,0.5493027870828489,0.44299082567144715,0.4053198864776165,0.524060036851299,0.45356087202201234
