UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,UKESM1-0-LL,SSP245,7.271445390797553,7.558567057603669,9.38031030538661,9.889754100069295,11.591419146675358,14.179122383134338,13.913241710164398,15.072162846933074,14.629039126039757
13,UKESM1-0-LL,SSP245,42.92719528688219,45.102279468178686,49.514100621658926,54.73826978774971,53.46926335888356,55.731270895507876,51.357255445273445,49.90020693761639,55.7993881243021
14,UKESM1-0-LL,SSP245,49.73068305235087,45.53505350854663,52.47749875803796,55.52884395390879,58.12272004685976,55.68115383482725,56.67488376196352,58.00303581547042,54.26486158201359
15,UKESM1-0-LL,SSP245,6.922941412192817,7.685710372544692,8.988570081457251,11.44054221603993,12.30296233203862,13.850617000190597,14.345649026168118,14.83361651118348,13.687254960198969
17,UKESM1-0-LL,SSP245,17.602973718165078,14.804204239765703,12.293914526967779,11.618402141985856,11.1505316964238,22.34406968000165,16.298280609428392,26.415359572063295,21.062242551255736
18,UKESM1-0-LL,SSP245,10.78611947289564,7.572566516718544,12.784089875881891,14.301873897056133,18.08880272195917,19.914014169493097,23.45698999531828,21.143609351605882,20.918997807465505
78,UKESM1-0-LL,SSP245,11.824237138792466,13.969885972479853,19.36134644357175,24.424491109732426,23.91678753481625,30.204543967351494,26.131546028832577,33.17589334439407,33.040907207546994
85,UKESM1-0-LL,SSP245,31.528097382096245,31.81313739046565,36.0565684412628,38.87767494661245,45.476401072186114,43.7065701871464,46.2446892474588,50.96809903147894,51.7780912723151
104,UKESM1-0-LL,SSP245,6.397811292237428,12.243890540281583,13.578989683975093,15.153215038099635,15.682445121717032,20.423097881716608,20.073389208658355,18.449865377015797,26.878974071175055
118,UKESM1-0-LL,SSP245,12.931789476580422,15.375400206034366,15.913675577168323,15.693602578078512,16.901061520104573,22.543633995142834,21.037964002040162,24.624962912132908,26.745643378348927
120,UKESM1-0-LL,SSP245,1.4897115957865832,1.6266553924658185,2.0249590425375086,2.2767657459945823,3.1175566141546507,4.0736247388734395,3.641894861568064,4.049878649479539,5.684603261937407
