UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,CNRM-ESM2-1,SSP585,0.23226268443967404,0.24561584945936488,0.2835250067044591,0.24509098150473368,0.2839611731653441,0.3773452688952491,0.40147954693883003,0.6004005441030431,0.6720049910251104
13,CNRM-ESM2-1,SSP585,0.7895445519991631,1.6329871915110494,1.726469375463713,1.5793274328327431,2.625227557714641,3.855893224046952,4.877811190443037,5.457363964840581,5.57542608613747
14,CNRM-ESM2-1,SSP585,0.23963168899085702,0.7517025941780813,0.7848565604339011,0.7025391813458932,1.1622727806487003,2.325855472659262,3.27739720055723,3.7156079064335117,4.02467954215157
15,CNRM-ESM2-1,SSP585,0.2016549895686342,0.34524520798209657,0.2685380289986102,0.2763957769626537,0.3322324323267665,0.40218845186091307,0.6404516042496865,0.8420961621039611,1.0132515356816447
17,CNRM-ESM2-1,SSP585,0.19211377656755804,0.15298999036720723,0.20559579151379548,0.21908469360401084,0.29389782194016606,0.6017028154893594,0.6651589340072035,0.9304901470030693,0.8607892693921037
18,CNRM-ESM2-1,SSP585,0.1659338313085573,0.2774405244707993,0.34553102176255185,0.18702143516229783,0.4649766213893846,0.6390533769088217,0.8821066767457043,1.212031142488998,1.468630075593858
78,CNRM-ESM2-1,SSP585,0.2877989875789168,0.3185286939559694,0.32713588543829614,0.31002003025191177,0.5135211203179562,0.6424325971219869,0.5573218282893362,0.5422433887636077,0.8353963197575226
85,CNRM-ESM2-1,SSP585,0.27845682949911277,0.5056375146057531,0.5150652348257214,0.36102057379765096,0.5830335211820923,0.7888647734649383,0.9614589871497609,1.3514925374766213,1.4394451546599767
104,CNRM-ESM2-1,SSP585,0.17858280465268905,0.14513684615744765,0.1604894507034982,0.1547764279860398,0.26493109146574473,0.3592012455656737,0.3544985056859343,0.3986919592276579,0.3820948701526257
118,CNRM-ESM2-1,SSP585,0.2046595394985545,0.20834826397249154,0.210037041788429,0.24311151865051336,0.22920047944303215,0.5864838865864638,0.8059200798638642,1.0258365890226175,1.3262292653229313
120,CNRM-ESM2-1,SSP585,0.14576009431062592,0.2046324974242267,0.17225445547699753,0.14909640943493874,0.16322562642814745,0.2842892111563236,0.34818820836645575,0.44913895896770334,0.6002612066222792
121,CNRM-ESM2-1,SSP585,0.17639528137102348,0.21971176522739524,0.2082290608721085,0.16401086343083174,0.18964425659970982,0.2467219481011209,0.2591436507887637,0.2680764473738441,0.320315260941196
128,CNRM-ESM2-1,SSP585,0.26507488374293015,0.29459348651958167,0.2521402173379621,0.23371044992190787,0.3609713906497236,0.4643728694510729,0.530152030544704,1.1836521563182612,1.8157592298937821
167,CNRM-ESM2-1,SSP585,0.20486857016881965,0.20368005723750537,0.19961593719641485,0.19977281648276082,0.21324888073023257,0.2781383578762597,0.3805241261552312,0.5117347945445051,0.6138887830089621
28,CNRM-ESM2-1,SSP585,0.11099338307504614,0.11346069375206498,0.19609506600973817,0.46255448828883006,1.9572353747068207,3.2505368079008785,4.24887884139848,4.9157295743464005,5.281642113016651
29,CNRM-ESM2-1,SSP585,0.16580551049450318,0.14297410440110572,0.16371224152386948,0.30631307673649544,1.3549696003854188,2.259808539612917,2.6603064699939325,3.1269876313239884,3.527949747236558
82,CNRM-ESM2-1,SSP585,0.1313170365947142,0.14270770748674352,0.2704317348600694,0.41049864623775,1.5630205390095533,2.274234068956768,3.7447329909726736,3.9572586357823294,5.026632300991445
98,CNRM-ESM2-1,SSP585,0.19524414309049828,0.21444973223012326,0.22868722496372348,0.2290246015487998,0.3413469275175965,0.43308633310607736,0.7986939110271797,1.3615050664365054,1.764010958749754
110,CNRM-ESM2-1,SSP585,0.3320775653679751,0.6326744111362302,0.7211819282285661,0.6193435316360338,2.1053341713945257,2.7281971116451293,3.5387194876529295,3.500733720951848,3.8527075068819756
141,CNRM-ESM2-1,SSP585,0.22367183173005323,0.3549968145295755,0.47006910489892517,0.602711666288555,1.000385373816406,1.4358560564069798,1.949959962113188,2.5757120158034117,2.837274288981028
142,CNRM-ESM2-1,SSP585,0.1320089309785836,0.7331427668844797,1.0339069111922496,1.7832545298637856,2.5686690776469265,3.59932290428375,4.531774398964884,5.180524857786491,5.1863266976563835
159,CNRM-ESM2-1,SSP585,0.0869222658054685,0.11993829491158196,0.15358202208012092,0.24282309757572274,0.3860952471098517,0.5731494122106888,1.3478278507335566,3.261609790515785,3.3247496770937106
83,CNRM-ESM2-1,SSP585,0.3722108730021452,0.5883006126514957,0.6813070753960673,0.6660441819174645,1.210788571937388,2.2385950116848066,2.7546706083766117,2.9927046914587496,3.3330012557546125
33,CNRM-ESM2-1,SSP585,0.0726316147161158,0.08928980809985515,0.10633997648323838,0.09602474877628213,0.11360864233343926,0.09600717547428805,0.09135805914909544,0.06580564437915715,0.1601843106087799
34,CNRM-ESM2-1,SSP585,0.17377406062020148,0.18764970721496838,0.1861688524932478,0.1841909120130967,0.22834132942605545,0.22908650826563187,0.24068549107804543,0.26959019544944934,0.31017182471530613
103,CNRM-ESM2-1,SSP585,0.09815283983766732,0.09673410352306368,0.12329742144791649,0.1060694706422805,0.28224774377627193,0.21705306479119785,0.1400651306995426,0.0915925661009246,0.13644408741664057
119,CNRM-ESM2-1,SSP585,0.19236158857959154,0.19255356108288504,0.19945970188346465,0.19769465114561285,0.19752514864851664,0.3052232971726063,0.3408830318727095,0.4737472577399061,0.44172436205440624
140,CNRM-ESM2-1,SSP585,0.1357726667126678,0.21784743218889088,0.20332430685413394,0.19110349977993482,0.20029745755558648,0.18288493109968695,0.17570819769539728,0.14560964672443683,0.1786028650312954
79,CNRM-ESM2-1,SSP585,0.32336371978880263,0.3714640874281788,0.5979379391290464,0.6446876482113058,2.6406164182031846,3.2529778618480596,3.473134200218626,4.183115384971415,4.486362188278499
80,CNRM-ESM2-1,SSP585,0.4679287645016534,0.5174628319587701,0.5173852392081681,0.520409433587936,0.9091948417759894,1.2001912860926711,1.5174605787288509,2.3519140171290687,2.525676985308283
81,CNRM-ESM2-1,SSP585,0.12522674328133607,0.16174501114011142,0.34189347271262455,0.520194854951888,0.9471695777067671,2.0367662882366946,3.2549922207842306,4.454986549179077,4.423152472041943
92,CNRM-ESM2-1,SSP585,0.1861547590808551,0.594458353826868,1.1914508939696216,2.1504934638554545,3.1429929867541,3.9913008233691425,4.299392525095625,4.927392290952501,4.966275781113999
94,CNRM-ESM2-1,SSP585,0.22059152615131788,0.3828027801746045,0.5235742359171035,0.4437443051555445,0.7571444229607549,0.8555370340470804,0.8847205576014091,3.2913066921020238,3.0532574087785678
95,CNRM-ESM2-1,SSP585,0.7568475464921848,0.7375363597136403,0.7327690935412837,0.6588502024183277,0.761969861962995,0.8452793812757221,0.8493424365485688,1.2314962813237655,1.2733868333059524
96,CNRM-ESM2-1,SSP585,0.2632611277110057,0.6824228477760933,1.6268478119996062,2.1960888524286997,2.8960892865035497,3.399118681234812,3.7572494908689773,3.9624747524967017,4.445108313481093
97,CNRM-ESM2-1,SSP585,0.47329209200255323,1.3233267325211673,3.1515609746219715,4.156560472225017,4.553497569453546,5.083412282271759,5.1717783240524025,4.965101746025565,5.347938454225509
143,CNRM-ESM2-1,SSP585,0.06515512646594426,0.44144827651040036,0.4074008659688727,0.4170817191594912,0.9568823614454255,1.180365796787647,1.1041335933247745,2.274153678650843,3.502446782762366
144,CNRM-ESM2-1,SSP585,0.26524045741514407,0.5689571736621284,0.6145726285624612,0.8888954834331015,1.6145238695881827,1.9846156071856458,1.5934236299741171,3.6658318846110336,3.6398546368606732
145,CNRM-ESM2-1,SSP585,0.23943807553674148,0.7698415150255923,1.6637003258575247,3.5623507558666483,4.172155944950752,4.56623393240241,4.796334745400147,4.695244773563097,5.268193516067976
146,CNRM-ESM2-1,SSP585,0.568453235550661,1.2183173279699497,2.552291278076007,4.027100727331226,4.834996612502353,5.057377816855558,5.2691062574657614,5.174187802895759,5.461720078002924
147,CNRM-ESM2-1,SSP585,0.7879632587419703,0.9885961309143209,0.9975799883449364,1.1287305231571938,1.2523025600191904,1.3482120669382545,1.5200035356567465,2.253002142836731,2.4668087486517702
158,CNRM-ESM2-1,SSP585,0.07855487556833429,0.06633833778116156,0.38147773008968666,0.42948839274925393,0.4441618877638369,0.4759099949586011,0.44408953735568313,1.6423478071635238,1.4354411601269064
160,CNRM-ESM2-1,SSP585,0.7938526406467104,0.7861939493096134,0.823502480671131,0.7754936783916283,0.8682743772201359,0.9565581419726474,1.1045378338239533,1.493703976201781,1.3305427219037496
84,CNRM-ESM2-1,SSP585,0.5404105356100619,0.7930360128181142,0.9133693948000099,0.8270242183971496,0.7412255132782042,1.5706629892863424,1.8286140380449016,2.267436774775622,2.360516599443513
25,CNRM-ESM2-1,SSP585,0.19946409289477923,0.11275264774001104,0.13336272606751645,0.12510411873347696,0.096481463603089,0.101820662434057,0.10652530763042917,0.1377190277188252,0.14000441904431743
69,CNRM-ESM2-1,SSP585,0.16143293958235694,0.15345870324578417,0.14829009350812483,0.1261239462182345,0.21713269106651542,0.23472409359878182,0.28282252571360644,0.28373148686588023,0.3793685058544211
70,CNRM-ESM2-1,SSP585,0.2212624281094409,0.20104146625034627,0.19853769809884142,0.17345644671806393,0.23879505654893607,0.2502503285932825,0.2847405751328171,0.3477164323729932,0.3574515655203229
117,CNRM-ESM2-1,SSP585,0.18727880820765014,0.19558758821331923,0.171024756934984,0.17863049787211463,0.19234641177460082,0.19239778979281413,0.21180328755077427,0.20599764752678676,0.2077315192174151
156,CNRM-ESM2-1,SSP585,0.13293708586895026,0.14218865285233637,0.11543023432161356,0.13472091960338559,0.12935192137736234,0.14139904352410806,0.20451754021938218,0.2625262216009617,0.3415989370067021
108,CNRM-ESM2-1,SSP585,0.40749929321594325,0.544746435226214,0.6365996885951878,0.7763209792268476,0.931852857051147,1.6904627869939077,2.4825583370852797,3.5783355236734047,3.9228019959589737
109,CNRM-ESM2-1,SSP585,0.3429800668302159,0.4288430484795267,0.6336680940346346,0.5987936961637293,0.8909398421506344,1.8163034085933256,2.771965784180003,4.084400077695825,4.440159322190839
172,CNRM-ESM2-1,SSP585,0.28994584496820225,0.4091550678004906,0.3639336570026815,0.3530231034007644,0.3144608592187037,0.3830480885348031,0.7651779810945178,2.1788323435631085,3.481198199411567
183,CNRM-ESM2-1,SSP585,0.17825019189342634,0.23327059305488682,1.6425451940193236,1.425693186624116,2.0168233494419177,3.2038992635957557,4.663994235437424,4.92511348997899,5.015960820073876
197,CNRM-ESM2-1,SSP585,0.35229521812586595,0.5298787981809401,0.7010121269972165,0.6619745846011689,0.990348541888614,1.1663099054154689,1.9240927488727868,2.7959738749156733,3.274812596219056
26,CNRM-ESM2-1,SSP585,0.1881530901415882,0.49068759349140856,0.5669907448126829,0.5391557376749526,0.6972721782567668,0.9738158937100265,1.1193191114397767,1.475707305621875,1.6527961659225643
27,CNRM-ESM2-1,SSP585,0.14941762332973876,0.4339643787721879,0.48246492458762347,0.5230972120374797,1.0454322220656354,1.587381021230478,2.7358980531560233,3.9890368587510294,3.8192462365852298
112,CNRM-ESM2-1,SSP585,0.27434834423237475,0.5571958432387866,0.5422558592519169,0.514504349019107,0.6580179238478726,0.8152062034743522,1.7391368585550964,2.3736169047159175,2.3283876782151625
113,CNRM-ESM2-1,SSP585,0.28030074611817735,0.35405033965020144,0.44734884625350907,0.5158836559339496,0.6181493616847368,0.7449532919300718,0.9210476051254067,1.3227152070334334,1.3908311860465263
131,CNRM-ESM2-1,SSP585,0.23975565544701405,0.3345684282960152,0.3979604976655236,0.3869951585887088,0.6689948579670479,0.788461355371418,1.4211129155826026,1.7702730176501096,1.8869034552500594
151,CNRM-ESM2-1,SSP585,0.2426052840032308,0.19212208164960026,0.3317195074962122,0.3363089941850449,0.4741321918398153,0.463133873802272,0.6808384055202714,0.9055296557743725,0.9537360900338326
152,CNRM-ESM2-1,SSP585,0.18261293070335893,0.1996893791666713,0.35059683640981243,0.274615978617424,1.5013367067300343,1.913809335949016,3.232876732333974,3.8777472953914307,4.0354724162795375
153,CNRM-ESM2-1,SSP585,0.33526757823359377,1.1648488747583472,1.5388336010154016,1.3403603666713568,2.017027227374565,2.808625395607017,3.448025567966438,4.351996981007444,4.510377613471068
2,CNRM-ESM2-1,SSP585,0.12355358319643715,0.2219064729899135,0.12314230211723577,0.16108008185829203,0.12276262268715574,0.1813111527400829,0.14257142150730934,0.1374436350891461,0.1198999305110556
3,CNRM-ESM2-1,SSP585,0.33329818236211023,0.37084936007341984,0.39705085719346717,0.38639534635729483,0.5725525949101288,0.7148007451299013,0.6817496022916216,1.012849627812945,1.2482922163167212
4,CNRM-ESM2-1,SSP585,0.2507783449740827,0.3385345287043075,0.3268654582835574,0.35025764748979565,0.3559416316328215,0.42071757164580054,0.4618551816556493,0.567984883860056,0.6470160416710928
5,CNRM-ESM2-1,SSP585,0.2093260673389456,0.18610574511028996,0.247046767077355,0.24717827331563091,0.20282677705958513,0.20803136530275101,0.18651484823388317,0.18467669360652023,0.23992716947486797
21,CNRM-ESM2-1,SSP585,0.2187990544158292,2.276343822412546,3.419888141008538,3.694272233408535,3.9471300656334605,4.781343001795438,4.499159060375141,5.171314226797314,5.236652274884016
22,CNRM-ESM2-1,SSP585,0.24611855669795368,1.7587737753311905,2.243150559608802,1.7801705558439411,2.6764010264034597,3.12487568067626,4.486043128054647,5.068213813630751,5.243822233720771
42,CNRM-ESM2-1,SSP585,0.2895343615113614,0.5340319409699427,0.6246245645452607,0.74693892045658,0.8465927160488836,0.9942117095312911,1.3633385172423746,1.6916118829542837,1.8650425425802029
