UID,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
0,0.9731116252851368,1.2476909164507062,2.3316094011549624,2.7047897068822264,3.113038081701629,3.437677844045261,3.6412671320166554,3.9653653770001753,4.034124235130505
1,0.43772582143353755,0.9781474186762766,2.403183355227754,2.7195708829931635,3.693266798997409,4.148048421765144,4.34790064522724,4.562120113839997,4.63014126222613
2,0.14131597028159357,0.18168092367069008,0.15013680734614043,0.14384928545235093,0.1504763117568697,0.20701026591732755,0.17899404808142177,0.17864367690369218,0.1891768158529381
3,0.34321979163407274,0.37081973792828615,0.4386589220668431,0.4550018474771975,0.6088622586597431,0.8947460334476609,0.8143454238855506,1.0445328264815772,1.2238699610094574
4,0.27481978002618773,0.3069547569750027,0.36371463174607643,0.37726465378982527,0.4311534560237284,0.5306986973999412,0.5756357310956433,0.6645145952322625,0.7474861609864706
5,0.21825833393827726,0.22249319538145979,0.2236932488691806,0.23492614293124356,0.20974525201214017,0.23310210835883508,0.2501561274823197,0.2657615947515869,0.3566477301586727
6,0.27533576291691186,0.2947623611073591,0.3143839256139448,0.2881474334932091,0.31502380594540014,0.36329019639605165,0.38159070207435547,0.4064821801228903,0.46604885920922456
7,0.4206401662818669,0.45959208225542936,0.7129635464254374,0.8174271788954117,1.1253568628688888,1.4668104409689509,1.7812624716268324,2.294585037559015,2.692809454987114
8,0.18991849974070013,0.19370460182606553,0.20162472782830793,0.21438431987184087,0.23900750212652372,0.2799970793621841,0.32726767968732984,0.3726122355820427,0.4644276236458456
9,0.22647061896415122,0.2314169965177773,0.2193390906573715,0.21312976545141335,0.22391392384814662,0.28894685760872446,0.2714737436821997,0.3658567406518548,0.45517044877703466
10,0.24313085342044927,0.22925087597873534,0.24453962258136258,0.23655767227239116,0.2513664428843114,0.26897968563889973,0.2761015671608801,0.35011532722980504,0.4366459133666572
11,0.3522054985101401,0.32720557426733243,0.33863240961814484,0.3535015273487236,0.3225224463585886,0.3379619617491924,0.3121926408030328,0.35715061357311495,0.3729430885656859
12,0.21422871788989747,0.24085312452492938,0.2708681932903366,0.25470257637422444,0.3262821470907917,0.42476401013817355,0.4679111051586123,0.5994915487337382,0.692553431062675
13,0.48385053583415266,0.9052251302038996,1.5031122219372701,1.632796822911832,3.236325959289233,4.297204583856779,4.557747048610757,5.2862574870187675,5.461182868913447
14,0.33538236241626007,0.46998493764796007,0.7860673583283323,1.1100609264563022,1.9064077434445454,3.2288596182083866,3.4785923012827054,3.7351727735768447,4.153048612896141
15,0.20874120340425312,0.2550263458524366,0.2771628792249752,0.2979186915065894,0.3845630890457233,0.5515044936971959,0.6322119818290695,0.7794700412249277,0.9328338765132959
16,0.28896190856656967,0.3112731360837035,0.37035206652127073,0.4033720843526427,0.4376893645138213,0.5385771819361874,0.7693790516889196,1.026909910960422,1.3371408994396432
17,0.19318352703485203,0.1690237867446292,0.22680949801579792,0.2659514397190434,0.34916093709771223,0.5303661196768428,0.5416595492083283,0.8127343868033863,0.852700110203499
18,0.19973623927496786,0.2472733241945194,0.30348589643519847,0.2964294721963182,0.44923128174448906,0.6887182531461521,0.8613017484260965,1.1509889689105246,1.4778490714548433
19,0.26717047267135835,0.24692756263125695,0.24835448933763563,0.22031022450761006,0.21501647900760262,0.2675562196512814,0.2472827956522828,0.2909367428364509,0.3074563916926083
20,0.27693872716268386,0.29148107531100526,0.38174522776180486,0.3772259866948257,0.3137394442088471,0.33728436697308534,0.3312890307130335,0.3954369982936973,0.42697602878080376
21,0.3145717581381966,0.7871704527527363,2.485156691272711,3.067963314916816,3.993511808796204,4.700595718959101,4.869690213536351,4.8439123429762985,4.974033827571536
22,0.25857411546478737,0.6168938717667972,1.733592895774303,1.5343538336196048,2.71020985045647,3.9052363202457228,4.154633432592562,4.582274097864629,4.636065230852607
23,0.11246510013941795,0.09187473025200464,0.10828203706498889,0.08735370311866104,0.12557001924317468,0.14568828318956717,0.15928703806422387,0.1666264990442905,0.20244932858480147
24,0.13757107361025694,0.15656386702439667,0.13591177709779184,0.13385727556887186,0.12087875704531596,0.1267740262208144,0.1404863872323039,0.15237193074744992,0.16151495732220975
25,0.15794396539834504,0.14643289611655003,0.15141677168475914,0.1408167414200998,0.11722438727911018,0.13534779322286267,0.12002871464435541,0.13816974576548305,0.1532190740043562
26,0.18380895165694935,0.2466657859490795,0.4823026523328209,0.5434302366792991,0.8353837630468817,1.1200446435793892,1.1600056612925982,1.357512208983738,1.4245522366752295
27,0.14490391671659308,0.21574334391279648,0.48467704668202016,0.7309275642412737,1.596263172797552,2.445538988747577,2.8414381595676614,3.3796555979059746,3.5942850080698774
28,0.12520023043839837,0.12119120877230113,0.21651547132867796,0.4741753140149978,1.455621493707225,3.0769574984365553,3.1596264272294032,3.983048616354421,4.307900701843103
29,0.15046418079889423,0.15139321303699993,0.25805973991056214,0.41516036562828146,1.0839655848807133,1.9403302057792822,2.0891788771975737,2.6884740776429306,2.991156010072757
30,0.2541139726921312,0.26461601830196735,0.28837179216845704,0.3189057092700425,0.3207212196075401,0.4745522478488537,0.5599880499920001,0.6612494302957992,0.9378585791338747
31,0.4383629097213887,0.4442301516081738,0.4960805338098286,0.5175631837883811,0.5303008153400028,0.57645721136858,0.7221694454948389,0.5986277190294708,0.6259468997661077
32,0.3985001376439234,0.3297790873307605,0.34959418847220697,0.45087526159946556,0.47800443508991564,0.4289937817903807,0.5759557302287942,0.5444043246761988,0.4875547491418516
33,0.09224351413719512,0.10243793509338313,0.1244620280902653,0.11488308335781865,0.12673713452167948,0.11655241648633341,0.11959052891927464,0.12701282406897935,0.24006836415269026
34,0.18829476266689954,0.19009578023225795,0.19835296172735598,0.2052042987942845,0.23807056117408099,0.2506569044560387,0.24704470438635773,0.290680239550773,0.29827355012660217
37,0.13884098238441428,0.16629151950241874,0.25398668401799274,0.33690498023606336,0.5237000611515154,0.7012336525629254,0.745879732197257,1.0589906577685528,1.3198439299727691
38,0.13713219079592892,0.12666676485075293,0.20739930165251957,0.16700783685638815,0.19691710291009817,0.25073493703732286,0.21912182152144793,0.23475913951338795,0.2610633359641546
39,0.2702704271117166,0.28260276337735196,0.2523932735783333,0.3264575068947445,0.3345194302431581,0.4386987703433193,0.4134344298837106,0.43084570414471274,0.4584818944302679
40,0.18197611730990526,0.1607335864287954,0.27905426019774504,0.214075865672756,0.23830217899335407,0.28749606415267664,0.2549056837219491,0.2576461489433667,0.27371057870320065
41,0.3479061426506414,0.3079882491422998,0.34041394614858894,0.42253724306773377,0.4800031495510124,0.4894278069303682,0.4959293193294137,0.4895778513668788,0.4633714752722923
42,0.2683877558971062,0.34265864180844485,0.6005719118201963,0.6735654659633445,0.8883216248334678,1.1771071523055097,1.2691430590279236,1.4840557388536513,1.6797622058571027
43,0.19598188509222314,0.20377105648988567,0.1972291913792957,0.21141907573604182,0.21251123571321048,0.23804727249663502,0.28064049428479343,0.3134668829182452,0.37350252458540534
44,0.24321401938543566,0.2344314644730423,0.25279446356970414,0.31446695501131583,0.29337351586907356,0.3180308851178141,0.30420132077502327,0.326949101228393,0.30495304056584593
45,0.4026546121443678,0.40582796721997083,0.43344941409064547,0.4258232007447763,0.4620181196188728,0.4923850236973859,0.5293068993863933,0.4893794105344707,0.48473169050419695
46,0.27192086721860187,0.28359803601737277,0.3616494842180509,0.4013631925877858,0.44108928615221704,0.470853670371406,0.6212744451583303,0.5917803867075405,0.6103613201549505
47,0.260841478746816,0.3037179505105148,0.3757141500488986,0.4009621438535328,0.39715922145726823,0.5068596437049436,0.5168465859803263,0.5015573062762025,0.4649333241754999
48,0.36612988616634745,0.4096470249571926,0.4343523787734892,0.370935112384582,0.4741447324475607,0.5555757516723856,0.5147768419365025,0.4320748376630501,0.4155570987502887
49,0.4569149096052856,0.35588687955223136,0.43194971631071616,0.4227867374185914,0.4705213053436081,0.5361726815874249,0.48379162547820087,0.44613320275225626,0.4411037121442106
50,0.21453131454410945,0.21430310919404588,0.30851394250125047,0.2799371035482823,0.2760412792607554,0.2858283829992952,0.2962109607172567,0.2851331149581359,0.2858603793297746
51,0.37938533199268554,0.3381322304582593,0.4418237591215243,0.4103791792051522,0.4864792016276781,0.48207443130840266,0.48784146805888395,0.48385910719090564,0.48291171664594323
52,0.3606763984939582,0.3927978944488747,0.3733446577545543,0.3629353458121681,0.4302490689720714,0.45749643497043957,0.4888424887560429,0.4646794634090268,0.42717203472764187
53,1.1434119165397134,1.3995007018393728,2.3710847351548106,2.1366773842534252,2.6256594107873896,3.3044947996383343,3.8095754116048965,4.137060960516985,4.40521116553105
54,3.7437361260938085,3.8282200752125397,5.856266015395071,5.390858062060739,5.456562046409635,5.846893817411369,5.901902911567356,5.7840666084394865,5.6303228385370145
55,0.21645808380775514,0.2396071707591938,0.2192900438109493,0.31908355223400897,0.3358800494159934,0.36070031306879696,0.3379755129719575,0.3613026064374066,0.3036953561065763
56,0.09486947504131238,0.1401622237923572,0.23151965770133787,0.2726542592576852,0.4502303012705119,0.6285158023615282,0.7100345334801025,0.8851003165450628,1.1618358269184343
57,0.29796180326480337,0.2454100985206738,0.41357239707372384,0.42623120890050537,0.3777293236018694,0.47700155980414793,0.27457182174355294,0.36701392556052015,0.30666632459371057
58,0.16894908070433007,0.18035645737752387,0.1372941838520936,0.1873534805200963,0.21436217560544918,0.20525550257889594,0.17554117025073868,0.22325185734607172,0.23382112927640533
59,0.21293973687946982,0.175196422353803,0.16990290240858957,0.18792774765910167,0.2183163737674596,0.2418668969579084,0.2647122703016648,0.28775505600449414,0.3132237936042936
60,0.19894398216856835,0.15191989154258964,0.1701803027142213,0.21313756167485906,0.24456250463161333,0.2514034967474988,0.28835128648330677,0.3088195524893903,0.3471864727803763
61,0.262693263086139,0.26910485056181926,0.27636795408802717,0.25317771189937166,0.26565259088995113,0.32598303906236914,0.2829918949239046,0.34022772374834104,0.36423748462183825
62,0.19800324500884767,0.15638253820778508,0.1546852790607362,0.17822320550400553,0.18843720902604327,0.21931830829346363,0.2666810240282271,0.2615283363460558,0.3271794014265176
63,0.23697437801336269,0.25316191347841194,0.25310157487286433,0.2502678924474157,0.27328443311715817,0.2885010384721297,0.2939866857102562,0.3051449847368563,0.31531213090056504
64,0.23222277900844768,0.2120266505908927,0.22826776873756388,0.23805331368931454,0.24756636972125082,0.22754903925088268,0.23483231990056036,0.2583792706133491,0.26572797333251547
65,0.374380228147429,0.3185659368093896,1.121846684575306,0.939968410484218,1.3141694823781986,2.0058605148207094,2.6590012304913055,2.714702863998159,3.1541021516155006
66,0.17494757761693897,0.17777761907121425,0.23655155475523476,0.19389227148874763,0.22424496528758958,0.26366041220276687,0.23748008880008342,0.21903463236979653,0.24341235287481963
67,0.25061778543609636,0.23651543338433503,0.26055453259848915,0.253108837286825,0.24428910357257946,0.2806438442162306,0.24945282850904932,0.31845011068249607,0.3299812630580675
