UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,CanESM5,SSP585,0.20404063811828768,0.2579079459708362,0.3149165812851655,0.3110834509310031,0.3916551251666967,0.5242613722279175,0.5831633006763612,0.6702720120923278,0.8393459203816134
13,CanESM5,SSP585,0.35508570489925534,0.3639138796592051,1.3984022520943415,2.5611670817226417,4.268578576158843,5.240272947685121,5.412479038163539,5.220865858332367,5.565349859647265
14,CanESM5,SSP585,0.48325901775557223,0.44387050793545857,0.826091266330959,2.09889662488324,2.836198904930837,3.7828238552617504,4.029571100426184,3.7149887862191937,4.768802662250697
15,CanESM5,SSP585,0.2097240284660365,0.21191928821470582,0.30381417516737236,0.3073669328006964,0.4348146051256506,0.6838002381147986,0.7290970085033707,0.8593300564595174,0.9339263115110717
17,CanESM5,SSP585,0.22407673050564006,0.18247760693113696,0.3051544134658589,0.3420984811610779,0.43368778097800637,0.8307456733139795,0.9007578264615824,1.0494409269252223,1.1997199908517076
18,CanESM5,SSP585,0.21885978540607454,0.23472019279989442,0.3374394551431618,0.3881926451221844,0.6110672063051967,0.9312874470925225,1.1954971584913165,1.3963018039816781,2.0350259929446937
78,CanESM5,SSP585,0.1997885255324277,0.24918322026375014,0.2887670922431112,0.4048644136571106,0.5584197388799418,0.8264330867188383,0.7740087133467578,0.7168988287123499,0.8229548066333595
85,CanESM5,SSP585,0.31366431960940583,0.24802323234757154,0.5885138540806027,0.7628382300509133,0.8549092624198645,1.4815530012970686,1.4659694244698476,1.6337212108924002,2.0039651874274176
104,CanESM5,SSP585,0.16630268793560715,0.18107311188336575,0.16033662965132914,0.1957711963173698,0.27538314791377133,0.5381741365932229,0.4806947121590958,0.5487294999100473,0.9300219863471997
118,CanESM5,SSP585,0.20855944369794888,0.19002773863736655,0.25810876021902396,0.31074651252319735,0.4045283744493099,0.8433741080599028,0.9328825304741413,1.2082938445969886,2.128402193207896
120,CanESM5,SSP585,0.15814770242235196,0.16597081998547997,0.21146548979009747,0.41706624426228417,0.32183157168027027,0.572543131773415,0.6514719119911518,0.6317870813236859,0.9769029125014119
121,CanESM5,SSP585,0.15278694591524644,0.16544051338516655,0.20510277504225866,0.2875075894020624,0.30511073706901864,0.33604701602071485,0.34579389858397747,0.4157749683849533,0.39124743379128435
128,CanESM5,SSP585,0.2447026723809661,0.2320277456343483,0.3178391371586996,0.1840294124980734,0.3699715972806927,0.6240690875361943,0.41128722032125176,0.7369953093819727,0.5905276612997533
167,CanESM5,SSP585,0.1859158128853152,0.1900404343093277,0.18988823181468273,0.1934666367057883,0.2816870729325272,0.46432834553927416,0.4734721903088532,0.5610859216169769,1.0059078395959378
28,CanESM5,SSP585,0.11160593395420083,0.11209146234370077,0.23861697190359743,0.38103003916925093,1.762979305600008,4.011087889965365,4.1151739901915665,4.559260944094727,4.696217578311107
29,CanESM5,SSP585,0.13116780199244402,0.16203190852349908,0.259732056342549,0.47433879197914014,1.5134350368233698,2.544293258045828,2.7482532542735623,3.0322403521744423,3.570667969669312
82,CanESM5,SSP585,0.12040448040363609,0.15321338017736635,0.2889148325003955,0.7368532920159198,2.1817580544252304,4.278027522675949,4.2916517246065675,3.738953220319858,5.047331641340789
98,CanESM5,SSP585,0.2078283853807454,0.18802455494053139,0.23704362717439154,0.2736515910250705,0.5197415500920849,0.7733210113968776,0.9561892242037723,0.9504246738663938,1.5418714013415205
110,CanESM5,SSP585,0.2968591636548349,0.48917076802671766,0.8624415147086539,2.360252725005492,3.1095352392398508,3.8014672744690743,3.7628670256736685,3.562349669976877,3.8967868477624923
