UID,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
0,12.884108505517338,16.418751685949996,17.245497589029732,19.034948468814378,20.498596490774126,21.03184927141089,21.492611571554214,23.02780211106063,23.191866229134114
1,12.75089850650176,19.83867678177493,20.57096169062983,22.589878407213266,26.277696257184875,26.448515617672467,26.899133248422288,28.554789929633138,28.00473381983006
2,0.5076521751003688,0.6498963462307269,0.6685420481170996,0.7182830948798082,0.8257484452634924,0.9235247800814058,0.8910542956000246,0.9002182602608751,1.1033010582936593
3,4.973761401524413,7.957435894198579,7.679926225386092,7.4093981251270025,13.276697039899755,13.43992995257231,14.84506759905726,17.0454559645075,17.535967598216196
4,4.218631962729242,5.724638424498837,5.986602181088224,6.010743655293714,6.834726887157478,7.70112477545735,7.291751282439472,7.61288586565207,7.888570963575837
5,2.4209225576226827,2.718836880418619,3.01286134552016,2.631304251966331,3.311843547957241,3.826493075783378,4.558762574380796,4.566325467312553,4.810960785367512
6,5.408233161120988,5.858336917805995,5.888786687693052,6.4368094354548715,7.302893999721,6.951946730080938,7.291000069216322,7.761416388643307,7.314093915569211
7,24.817117691166338,31.044631099993943,27.57605980861597,35.46859033903961,39.22199198701226,36.68662431040177,39.541418958256344,40.96519096524892,45.91649874641235
8,4.371202557100434,4.561668657659595,4.032071065306552,3.863019386512259,3.4301578601359752,3.070219905777433,3.2252148983193707,3.0000412703872725,2.867286964319175
9,4.436696676329055,5.516690403286356,6.511618198938043,8.178700596323699,9.837923617840133,9.733153138974908,10.405747448716156,12.884271355982658,12.982681432188361
10,4.319184182149679,5.555783216148546,6.261863601434077,8.045825209544379,9.558833611997066,9.338951473205904,9.977953203221007,12.594961479737853,12.184299856754222
11,1.8060350490922026,2.200502978266546,2.434505848420798,2.750916837650608,3.20168662119656,3.2303341496240052,3.4906275577834527,4.437355240988596,4.058286397595125
12,6.628807188833795,7.884234067434674,8.003268290241195,9.572279860701752,9.818499885124336,10.706705431149825,10.746573246708982,11.715059582931541,11.887000095729043
13,40.06824068699212,45.16795799720798,44.85362782571984,50.03722315182539,47.715109996299645,50.29163411841667,49.081581631900065,50.88441671724393,49.432322918233
14,39.60057539801973,45.349847414729105,45.66262494951753,52.52539646207906,51.49030644588795,53.37137964304263,52.58835531582472,55.36826592035127,53.523289119806336
