UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,CanESM5,SSP126,16.349045638905036,16.865972495019964,17.272208269882263,20.69134656961491,19.52228521545479,23.135670373398828,23.414886186130406,18.664190035610282,23.18448133543918
13,CanESM5,SSP126,26.714046473629423,54.74189146750426,37.90818248839864,44.001492514551686,57.151492383143406,52.50253550297782,56.27075776070438,42.5571727897183,53.56552564001774
14,CanESM5,SSP126,53.62742683832132,56.59436674459596,55.651542270148745,57.28069533120406,56.54398180077247,59.71379052044848,57.89841134473846,58.41921805593044,60.166253938129366
15,CanESM5,SSP126,12.819034101476841,33.28955213992803,11.50828620708506,19.8748453272271,17.88159917338807,17.62036852396676,15.555049453645841,14.260427856822853,33.528735336379846
17,CanESM5,SSP126,2.8766030298741687,3.838212967080962,4.427460017544145,4.449966741718522,4.437008813754268,4.4907815603736765,3.728755769193194,3.6432368285104277,4.795589627513117
18,CanESM5,SSP126,3.2326436627225394,11.409218726486152,4.659927708505279,8.063296772158415,7.59008272441652,6.691651232255724,6.98736339927927,6.962410678965617,11.039759556136158
78,CanESM5,SSP126,2.9620981920112626,1.997224731078868,7.711522613001444,4.351243773247777,5.142163051217005,3.014140682746518,4.526283764277956,3.1044212858083595,3.228827175198526
85,CanESM5,SSP126,68.71371061725442,71.86250628826943,75.36667504971311,77.80930344705101,77.09076892403665,78.20870775503697,77.51406540684363,77.7268641300264,77.62720662558728
104,CanESM5,SSP126,4.133812960195246,4.250866915949454,5.214285980531469,8.102070966731269,4.842532855338084,3.0980112096574848,9.430388024400104,2.4999774593900987,3.070250672618816
118,CanESM5,SSP126,5.569623115128085,9.504385093315097,9.33710587665195,7.050771594726357,10.30272299776091,7.038607520282714,8.753601240398057,6.158259193516593,9.182423439966152
120,CanESM5,SSP126,3.2954882432380646,4.154061489612187,5.422669813142221,5.964344387487633,9.115171532911262,7.614943030403425,8.004677984547143,6.75602267606639,9.297262251130016
121,CanESM5,SSP126,2.931979546228082,4.111517230846839,5.240807473859746,6.329636176754673,8.023055934446695,7.4195404985592806,7.281534516108136,6.5827206061106045,8.845216339939372
128,CanESM5,SSP126,7.691749867879519,18.463014179845743,8.333326577367702,10.584279617540894,18.032195495024617,16.664209903280256,15.09982611466081,11.208609858059052,21.85679167224961
167,CanESM5,SSP126,5.893863610234489,8.05912440250791,8.014356020402575,7.754017965443488,7.153659302516312,8.108566662305975,9.19177998026637,9.331056500607994,8.919273551645498
28,CanESM5,SSP126,5.366678009015588,4.919315203267952,6.1556741665974695,7.1717356664750564,7.651968037127894,8.030875382019861,8.127128721354955,7.330852048965485,7.793397167482551
29,CanESM5,SSP126,3.749664694704661,4.160585410122011,4.483548047322338,4.87986227417768,6.52767610786187,6.041189120305569,5.742686080786546,5.534867143562853,6.327214091935571
82,CanESM5,SSP126,5.596990079940957,7.357594129198908,6.894590128247302,9.108025298112032,9.00441650172787,9.62095709530008,8.88515194268949,10.992813630511716,8.711942906280884
98,CanESM5,SSP126,7.001477835151891,6.369770123380407,10.230879411844509,7.112942669153883,14.483871427759606,16.641345918547767,11.985541392417701,17.611686394720827,25.777688399768
110,CanESM5,SSP126,43.80182471631908,45.94403620385576,51.726721712768,49.47354471493648,55.63268847048689,53.171525588318744,55.313215161654256,54.14454197429266,58.61193311283383
