UID,Model,Scenario,exp_2020,exp_2030,exp_2040,exp_2050,exp_2060,exp_2070,exp_2080,exp_2090,exp_2100
12,UKESM1-0-LL,SSP126,0.19237585418914382,0.18142662482734423,0.22419136115406407,0.19195579622886821,0.22311486955655135,0.20855951988639193,0.237999789711268,0.23509550057360928,0.22663999228967127
13,UKESM1-0-LL,SSP126,0.9354698066865936,1.176755097505243,1.662784076651112,1.8716019800662487,1.7452624666965526,2.3608485768197864,1.896776306959969,2.045091049884272,1.965127402206205
14,UKESM1-0-LL,SSP126,0.4471044016130454,0.5086877819934245,1.341508160825442,1.2517287550819522,1.3518023099039744,2.1888169450991692,1.418085897769095,1.4643395854522234,1.3670088470922972
15,UKESM1-0-LL,SSP126,0.18895016690316027,0.13548421840921027,0.2618945292544566,0.2319119147924139,0.22565440206650464,0.4887379325176298,0.3183980406916252,0.27379056162176657,0.23855714039641812
17,UKESM1-0-LL,SSP126,0.3605333509602167,0.2911130915324961,0.35001463400627325,0.29974727422267394,0.25933775384682034,0.2797908268912582,0.3054036864296008,0.3024831070786273,0.2573446330796928
18,UKESM1-0-LL,SSP126,0.22455910460471054,0.23494884736819888,0.220744190687603,0.258590123330059,0.2429570261063354,0.3567913732406286,0.26815564322719754,0.2450843155039598,0.31916520493649736
78,UKESM1-0-LL,SSP126,0.32067012377286763,0.1992353871675527,0.23746689963195183,0.22338802645495168,0.349605249742107,0.32694102405679176,0.25595735394449753,0.3748175530580199,0.17077607319061652
85,UKESM1-0-LL,SSP126,0.4251214843744888,0.3720590573406733,0.7718778033953108,0.541255748598546,0.4931125445252776,0.739485616853062,0.7441768072156706,0.6504316720584453,0.6503068241489642
104,UKESM1-0-LL,SSP126,0.17354450553921152,0.11146529853112522,0.129447893343986,0.20043446915255764,0.18407769562031517,0.20374352276893654,0.152089102995956,0.16353642456269724,0.1564919206033753
118,UKESM1-0-LL,SSP126,0.2981460069538147,0.2791738937183692,0.28808815381552827,0.306305137051739,0.2601765406844905,0.25895133827596367,0.2781764856748687,0.2851917248820672,0.26073671370653506
120,UKESM1-0-LL,SSP126,0.26452360357761157,0.2739468935012602,0.3292009765397885,0.4119937519693023,0.27336549179008807,0.251340792404537,0.28527650460000387,0.3421104535689767,0.2558802338230895
121,UKESM1-0-LL,SSP126,0.20266150408829572,0.22647869988105201,0.3645115752209646,0.2685428339995534,0.20247304993009574,0.1982533608994136,0.21507545595722388,0.24639635662590503,0.18495117849728693
128,UKESM1-0-LL,SSP126,0.2662341455637273,0.29014108686606166,0.3260206627443896,0.29792933607673705,0.2856393089883909,0.30271875586793406,0.30384586388922785,0.3241025686838772,0.31002268179674275
167,UKESM1-0-LL,SSP126,0.24210021910525284,0.26638002912650194,0.3606100749239935,0.23387842809733708,0.2800812311445252,0.23678478312471485,0.2375953284970461,0.24460462895544033,0.25824300821946894
28,UKESM1-0-LL,SSP126,0.1812792699949919,0.4145286972941263,0.5887019821711059,1.076972127836318,0.8299081581404893,3.716871282384974,2.590660109638674,1.3136990428245157,1.5063884629473197
29,UKESM1-0-LL,SSP126,0.3221668073939224,0.5839123797194767,0.6325404718879287,1.22543584138825,0.9967866459730175,2.325053089644089,1.673901298277455,1.21002431220171,1.3618158700163396
82,UKESM1-0-LL,SSP126,0.2883456872303342,0.5125590176776146,0.39574047048930194,0.8803407789494755,0.7407052346594724,2.9795198468348865,1.3286399283732067,0.6984519253686526,0.9391132479759661
